,id_aeroporto,data,data_,effettoSulVolo,id_specie_volatile,id_gruppo,coinvolti,parti_colpite
68,7,2015-05-04 00:00:00,2015-04-22 05:05:00,Nessuno,25,13.0,1.0,Tail
70,7,2015-07-05 00:00:00,2015-07-05 06:17:00,Nessuno,14,12.0,1.0,Radome
71,7,2015-07-14 00:00:00,2015-07-14 09:00:00,Nessuno,25,13.0,1.0,Radome
72,7,2016-07-02 00:00:00,2016-07-02 11:42:00,Nessuno,14,12.0,1.0,Radome
75,7,2016-11-12 00:00:00,2016-11-12 05:10:00,Nessuno,25,13.0,1.0,Engine 2
89,7,2017-10-12 00:00:00,2017-09-17 07:51:00,Nessuno,1440,10.0,,
90,7,2017-10-18 00:00:00,2017-08-06 12:29:00,Nessuno,14,12.0,,Windshield
91,7,2017-10-20 00:00:00,2017-08-08 14:10:00,Nessuno,14,12.0,1.0,Other
92,7,2017-10-23 00:00:00,2017-08-23 09:47:00,Nessuno,13,12.0,1.0,Wing
94,7,2017-10-26 00:00:00,2017-09-05 12:40:00,Nessuno,14,12.0,1.0,Fuselage
95,7,2018-01-25 00:00:00,2017-12-09 08:25:00,Nessuno,16,15.0,1.0,Radome
1,7,2011-06-12 00:00:00,2011-06-12 16:40:00,,1440,10.0,1.0,Nose
13,7,2013-08-08 00:00:00,2013-08-08 14:20:00,,25,13.0,1.0,Engine 2
22,7,2014-11-04 00:00:00,2014-11-04 15:00:00,,25,13.0,1.0,Wing/Rotor
23,7,2014-08-28 00:00:00,2014-08-28 13:10:00,,25,13.0,1.0,Engine 2
31,7,2017-12-10 00:00:00,2017-11-11 10:47:00,,2,7.0,1.0,Wing
5,7,2011-07-10 00:00:00,2011-07-10 10:05:00,,2,7.0,1.0,Fuselage
7,7,2011-08-04 00:00:00,2011-08-04 22:20:00,,48,11.0,1.0,
8,7,2011-08-20 00:00:00,2011-08-20 23:00:00,,25,13.0,1.0,Windshield
11,7,2012-08-22 00:00:00,2012-08-09 10:12:00,,25,13.0,1.0,Nose
20,7,2013-01-13 00:00:00,2013-01-13 10:53:00,,25,13.0,1.0,Wing/Rotor
22,7,2013-04-16 00:00:00,2013-04-16 10:54:00,,14,12.0,,Windshield
23,7,2013-06-05 00:00:00,2013-05-02 17:35:00,,25,13.0,,"Engine 1,Propeller,Fuselage"
