,id_aeroporto,data,D_data,A_effettoSulVolo,id_specie_volatile_d,id_gruppo,D_numeroVolatili
3898,7,2017-08-06 00:00:00,2017-08-06 15:27:00,,14,12.0,1.0
3899,7,2017-08-06 00:00:00,2017-08-06 16:45:00,,14,12.0,1.0
3903,7,2017-08-07 00:00:00,2017-08-07 10:15:00,Nessuno,14,12.0,2.0
3904,7,2017-08-07 00:00:00,2017-08-07 11:10:00,,14,12.0,2.0
3909,7,2017-08-08 00:00:00,2017-08-08 16:15:00,,14,12.0,1.0
3910,7,2017-08-08 17:29:27,2017-08-08 17:29:27,,14,12.0,1.0
3911,7,2017-08-08 00:00:00,2017-08-08 18:19:00,Nessuno,14,12.0,1.0
3912,7,2017-08-09 00:00:00,2017-08-09 11:13:00,,14,12.0,1.0
3913,7,2017-08-09 00:00:00,2017-08-09 11:42:00,,14,12.0,1.0
3914,7,2017-08-09 00:00:00,2017-08-09 12:14:00,,14,12.0,1.0
3915,7,2017-08-09 00:00:00,2017-08-09 13:17:00,,14,12.0,1.0
3916,7,2017-08-09 00:00:00,2017-08-09 15:07:00,,14,12.0,1.0
3920,7,2017-08-10 00:00:00,2017-08-10 18:42:00,,14,12.0,1.0
3926,7,2017-08-11 19:47:36,2017-08-11 19:47:36,,23,5.0,1.0
3927,7,2017-08-12 00:00:00,2017-08-12 08:46:00,,14,12.0,1.0
3929,7,2017-08-12 00:00:00,2017-08-12 10:50:00,Nessuno,14,12.0,1.0
3930,7,2017-08-12 00:00:00,2017-08-12 12:43:00,,14,12.0,1.0
3937,7,2017-08-13 16:00:36,2017-08-13 16:00:36,,14,12.0,1.0
3946,7,2017-08-19 00:00:00,2017-08-19 15:53:00,,14,12.0,1.0
3955,7,2017-08-21 00:00:00,2017-08-21 09:36:00,Nessuno,14,12.0,1.0
3956,7,2017-08-21 00:00:00,2017-08-21 10:14:00,Nessuno,14,12.0,1.0
3957,7,2017-08-21 00:00:00,2017-08-21 11:13:00,,14,12.0,1.0
3958,7,2017-08-21 00:00:00,2017-08-21 12:10:00,,14,12.0,1.0
3961,7,2017-08-22 00:00:00,2017-08-22 09:50:00,,14,12.0,1.0
3964,7,2017-08-23 00:00:00,2017-08-23 12:05:00,,14,12.0,1.0
3985,7,2017-09-01 11:54:13,2017-09-01 11:54:13,,5,3.0,1.0
3991,7,2017-08-07 00:00:00,2017-08-07 11:40:00,Nessuno,14,12.0,1.0
3993,7,2017-09-04 00:00:00,2017-09-04 13:46:00,,14,12.0,1.0
3997,7,2017-09-04 00:00:00,2017-09-04 14:06:00,,14,12.0,1.0
4007,7,2017-09-09 19:03:47,2017-09-09 19:03:47,,7,6.0,1.0
4010,7,2017-09-10 00:00:00,2017-09-10 13:31:00,Nessuno,14,12.0,1.0
4011,7,2017-09-10 00:00:00,2017-09-10 14:49:00,,14,12.0,1.0
4072,7,2017-09-30 07:25:02,2017-09-30 07:25:02,,7,6.0,1.0
4156,7,2017-12-18 13:13:55,2017-12-18 13:13:55,,23,5.0,1.0
4240,7,2018-04-16 18:36:39,2018-04-16 18:36:39,,33,16.0,1.0
4346,7,2018-05-29 09:20:04,2018-05-29 09:20:04,,13,12.0,1.0
4369,7,2018-06-08 00:00:00,2018-06-08 10:29:00,,2,7.0,1.0
4375,7,2018-06-08 00:00:00,2018-06-08 17:52:00,,2,7.0,1.0
4428,7,2018-06-29 00:00:00,2018-06-29 08:37:00,,7,6.0,1.0
4445,7,2018-07-05 00:00:00,2018-07-05 14:35:00,,1440,10.0,1.0
4522,7,2018-07-21 00:00:00,2018-07-21 11:38:00,,7,6.0,1.0
4559,7,2018-07-29 12:29:16,2018-07-29 12:29:16,,7,6.0,1.0
4577,7,2018-08-03 07:38:41,2018-08-03 07:38:41,,1121,13.0,1.0
4590,7,2018-08-09 07:52:07,2018-08-09 07:52:07,,14,12.0,1.0
4604,7,2018-08-14 08:37:23,2018-08-14 08:37:23,,7,6.0,1.0
4672,7,2018-09-09 17:49:09,2018-09-09 17:49:09,,7,6.0,1.0
4724,7,2018-10-06 16:56:20,2018-10-06 16:56:20,,38,8.0,1.0
4729,7,2018-10-09 16:29:58,2018-10-09 16:29:58,,995,14.0,1.0
4733,7,2018-10-11 14:10:36,2018-10-11 14:10:36,,7,6.0,1.0
4743,7,2018-10-17 17:39:02,2018-10-17 17:39:02,,47,9.0,1.0
4758,7,2018-10-31 00:00:00,2018-10-31 08:02:00,,7,6.0,1.0
4760,7,2018-11-04 00:00:00,2018-11-03 18:45:00,,48,11.0,1.0
4795,7,2018-12-15 07:52:41,2018-12-15 07:52:41,,31,17.0,1.0
4816,7,2019-01-18 00:00:00,2019-01-18 11:00:00,,7,6.0,1.0
4823,7,2019-01-28 00:00:00,2019-01-28 08:36:00,,7,6.0,1.0
